#################################################
#	 										    #
#    Localisation  - Shadow of the Acropolis    #
#											    #
#################################################
#             Written by Spykadelic		        #
#################################################

#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#################################################

sota_restore_games;Reform the Panhellenic Games;;;;;;;;;;;;;x

#################################################

sota_olympics.title.1;Dreams of Glory;;;;;;;;;;;;;x

sota_olympics.desc.1;You are standing in the warm summer sun, a cool & gentle breeze whistling through the trees sending their coloured blossoms into fits of dance. In your hand you hold a wooden javelin, its metal tip glinting in the light of the morning. All around you stand men & women in colourful garb, cheering, drinking & laughing, the sound of music washing over the scene. Readying your javelin, you take a deep breath before beginning to run. As you gain in speed you feel your feet pounding on the dry grass as harsh breathing fills your ears, with one last great effort your body coils & you launch the javelin with a yell. Gracefully it arcs through the now still air before impaling itself into the ground, shuddering for a moment, before falling still. A roar explodes from the crowd as your raise your hands to the sky...;;;;;;;;;;;;;x

sota_olympics.option.a.1;Something...;;;;;;;;;;;;;x

#################################################

